Hotel_Name,Address,Zipcode,Num_Rooms,Website,Longitude,Latitude,is_large_hotel,has_coordinates
THE HAY-ADAMS,800 16TH STREET NW,20006,145.0,http://www.hayadams.com/,-8575715.05620285,4707433.78529087,1,1
SOFITEL WASHINGTON DC LAFAYETTE SQUARE,806 15TH STREET NW,20005,237.0,http://www.sofitel.com/gb/hotel-3293-sofitel-washington-dc-lafayette-square/index.shtml,-8575384.56111701,4707430.97633455,1,1
HAMPTON INN WASHINGTON DC/WHITE HOUSE,1729 H STREET NW,20006,116.0,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-washington-dc-white-house-WASHSHX/index.html,-8576177.1005036,4707426.78330811,1,1
CITY HOUSE HOSTEL WASHINGTON DC,506 H STREET NE,20002,,http://www.cityhousehostels.com/washington-dc/,-8571500.44577966,4707420.00887087,0,1
ARC THE.HOTEL,824 NEW HAMPSHIRE AVENUE NW,20037,95.0,https://arcthehoteldc.com,-8577465.18834396,4707390.86394344,0,1
POD HOTEL DC,627 H STREET NW,20001,,https://www.thepodhotel.com/pod-dc/,-8573961.04547414,4707360.7053831,0,1
AKA WHITE HOUSE,1710 H STREET NW,20006,142.0,http://www.stayaka.com/locations/white_house/default.aspx,-8576086.33710793,4707352.73201442,1,1
"RESIDENCE INN WASHINGTON, DC/FOGGY BOTTOM",801 NEW HAMPSHIRE AVENUE NW,20037,103.0,https://www.marriott.com/hotels/travel/wasfg-residence-inn-washington-dc-foggy-bottom/,-8577417.09730891,4707336.82404886,1,1
THE WOODWARD BY BRIDGESTREET,733 15TH STREET NW,20005,,https://www.bridgestreet.com/properties/washington/the-woodward,-8575316.11218201,4707334.77245361,0,1
"FAIRFIELD INN & SUITES WASHINGTON, DC/DOWNTOWN",500 H STREET NW,20001,189.0,http://www.marriott.com/hotels/travel/wasfc-fairfield-inn-and-suites-washington-dc-downtown/,-8573744.02643845,4707309.45656217,1,1
MARRIOTT AT METRO CENTER,775 12TH STREET NW,20005,459.0,http://www.marriott.com/hotels/travel/wasmc-washington-marriott-at-metro-center/,-8574694.13548492,4707267.17848941,1,1
THE WATERGATE HOTEL,2650 VIRGINIA AVENUE NW,20037,336.0,https://www.thewatergatehotel.com,-8577814.82755633,4707263.50143086,1,1
GRAND HYATT WASHINGTON,1000 H STREET NW,20001,897.0,https://washingtondc.grand.hyatt.com/en/hotel/home.html,-8574549.64773145,4707264.28375209,1,1
HOTEL HIVE,2224 F STREET NW,20037,50.0,http://www.hotelhive.com,-8577129.51734934,4706952.48947948,0,1
PHOENIX PARK HOTEL,520 NORTH CAPITOL STREET NW,20001,149.0,http://www.phoenixparkhotel.com/,-8572656.14205764,4706941.6394724,1,1
COURTYARD WASHINGTON CONVENTION CENTER,900 F STREET NW,20004,188.0,http://www.marriott.com/hotels/travel/wascn-courtyard-washington-convention-center/,-8574309.03224743,4706938.97415641,1,1
KIMPTON HOTEL MONACO,700 F STREET NW,20004,183.0,http://www.monaco-dc.com/,-8574101.65468068,4706927.89490552,1,1
W WASHINGTON D.C.,515 15TH STREET NW,20004,317.0,http://www.wwashingtondc.com/,-8575318.09248852,4706923.10164925,1,1
WASHINGTON COURT HOTEL,525 NEW JERSEY AVENUE NW,20001,265.0,http://washingtoncourthotel.com/,-8572836.5252181,4706902.25548118,1,1
"COURTYARD WASHINGTON, DC/FOGGY BOTTOM",515 20TH STREET NW,20006,149.0,http://www.marriott.com/hotels/travel/wasfb-courtyard-washington-dc-foggy-bottom/,-8576575.68053851,4706860.04391401,1,1
WILLARD INTERCONTINENTAL WASHINGTON D.C.,1401 PENNSYLVANIA AVENUE NW,20004,340.0,http://washington.intercontinental.com/,-8575201.65194038,4706856.91522757,1,1
KIMPTON GEORGE HOTEL,15 E STREET NW,20001,139.0,http://www.hotelgeorge.com/,-8572703.94568775,4706843.09043939,1,1
STATE PLAZA HOTEL,2117 E STREET NW,20037,460.0,http://www.stateplaza.com/,-8576888.82232454,4706841.11187143,1,1
JW MARRIOTT,1331 PENNSYLVANIA AVENUE NW,20004,772.0,http://www.marriott.com/hotels/travel/wasjw-jw-marriott-washington-dc/,-8575093.33953276,4706839.05609677,1,1
HOTEL HARRINGTON,436 11TH STREET NW,20004,242.0,http://www.hotel-harrington.com/,-8574640.25891766,4706781.34944601,1,1
STAY ALFRED ON 8TH STREET,425 8TH STREET NW,20004,,https://www.stayalfred.com/property/stay-alfred-on-8th-street,-8574130.26908708,4706763.47684611,0,1
THE LIASON CAPITOL HILL,415 NEW JERSEY AVENUE NW,20001,343.0,https://www.jdvhotels.com/hotels/washington-dc/washington/liaison-capitol-hill,-8572790.35567159,4706699.20923178,1,1
HYATT REGENCY WASHINGTON ON CAPITOL HILL,400 NEW JERSEY AVENUE NW,20001,836.0,http://washingtonregency.hyatt.com/en/hotel/home.html,-8572903.85696611,4706696.0642739,1,1
"TRUMP INTERNATIONAL HOTEL WASHINGTON, D.C.",1100 PENNSYLVANIA AVENUE NW,20004,263.0,https://www.trumphotels.com/washington-dc,-8574669.16709357,4706514.59037105,1,1
FOUND PLACES CAPITOL HILL BED AND BREAKFAST,101 5TH STREET NE,20002,11.0,https://www.capitolhillbnb.com/en-us,-8571518.71816131,4706082.53313805,0,1
A CAPITOL PLACE,134 12TH STREET SE,20003,5.0,,-8570485.30956071,4705694.60909279,0,1
INDEPENDENCE HOUSE B & B,504 INDEPENDENCE AVENUE SE,20003,,https://www.bedandbreakfastdc.com/accommodations/independence-house-b-b,-8571510.26634946,4705612.11345736,0,1
CAPITOL HILL HOTEL,200 C STREET SE,20003,152.0,http://capitolhillhotel-dc.com/,-8571943.27719999,4705389.38354213,1,1
HOLIDAY INN CAPITOL,550 C STREET SW,20024,532.0,http://www.hicapitoldc.com/,-8573785.85614645,4705303.81647563,1,1
HILTON WASHINGTON DC NATIONAL MALL,480 L'ENFANT PLAZA SW,20024,372.0,http://hiltondcnationalmall.com/,-8574313.39517688,4705056.15900023,1,1
"RESIDENCE INN WASHINGTON, DC/CAPITOL",333 E STREET SW,20024,233.0,http://www.marriott.com/hotels/travel/wascp-residence-inn-washington-dc-capitol/,-8573374.40732389,4705015.02685676,1,1
MANDARIN ORIENTAL,1330 MARYLAND AVENUE SW,20024,400.0,https://www.mandarinoriental.com/washington/national-mall/luxury-hotel,-8574990.59922096,4705013.3262908,1,1
DUO NOMAD,1010 PENNSYLVANIA AVENUE SE,20003,,https://www.duonomad.com,-8570722.96338451,4704979.43381213,0,1
HYATT PLACE WASHINGTON DC/NATIONAL MALL,400 E STREET SW,20024,214.0,https://dcnationalmall.place.hyatt.com/en/hotel/home.html,-8573600.74185802,4704935.71846191,1,1
INTERCONTINENTAL WASHINGTON D.C. - THE WHARF,801 WHARF STREET SW,20024,,https://wharfintercontinentaldc.com,-8574389.29016069,4704414.12680036,0,1
CAPITOL SKYLINE HOTEL,10 I STREET SW,20024,203.0,http://www.capitolskyline.com/,-8572684.2021196,4704358.84230416,1,1
CANOPY WASHINGTON DC THE WHARF,975 7TH STREET SW,20024,,http://canopy3.hilton.com/en/hotels/district-of-columbia/canopy-by-hilton-washington-dc-the-wharf-DCACUPY/index.html,-8574209.47915749,4704288.03668621,0,1
COURTYARD WASHINGTON CAPITOL HILL/NAVY YARD,140 L STREET SE,20003,204.0,http://www.marriott.com/hotels/travel/wasny-courtyard-washington-capitol-hill-navy-yard/,-8572041.96914974,4704169.92994909,1,1
HOMEWOOD SUITES WASHINGTON DC CAPITOL - NAVY YARD,50 M STREET SE,20003,195.0,http://homewoodsuites3.hilton.com/en/hotels/district-of-columbia/homewood-suites-by-hilton-washington-dc-capitol-navy-yard-WASCAHW/index.html,-8572409.93509609,4704022.47927947,1,1
RESIDENCE INN WASHINGTON CAPITOL HILL/NAVY YARD,1233 1ST STREET SE,20003,,https://www.marriott.com/hotels/travel/wasxr-residence-inn-washington-capitol-hill-navy-yard/,-8572291.52959321,4703915.16133485,0,1
HAMPTON INN & SUITES WASHINGTON DC-NAVY YARD,1265 1ST STREET SE,20003,,http://hamptoninn3.hilton.com/en/hotels/district-of-columbia/hampton-inn-and-suites-washington-dc-navy-yard-WASNYHX/index.html,-8572289.94261479,4703781.41680942,0,1
